Crop,Title,Image_URL
rice,Rice,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/20201102.Hengnan.Hybrid_rice_Sanyou-1.6.jpg/1200px-20201102.Hengnan.Hybrid_rice_Sanyou-1.6.jpg
maize,Maize (Corn),https://upload.wikimedia.org/wikipedia/commons/6/6f/Klip_kukuruza_uzgojen_u_Me%C4%91imurju_%28Croatia%29.JPG
chickpea,Chickpea,https://upload.wikimedia.org/wikipedia/commons/c/c8/Didymella_rabiei_%28Chickpea_ascochyta_blight_fungus%29.jpg
kidneybeans,Kidney Beans,https://upload.wikimedia.org/wikipedia/commons/e/e3/Chitra_Rajma.jpg
pigeonpeas,Pigeon Peas,https://upload.wikimedia.org/wikipedia/commons/8/80/%E0%A4%A4%E0%A5%82%E0%A4%B0_%E0%A4%AA%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%9A%E0%A5%8D%E0%A4%AF%E0%A4%BE_%E0%A4%B6%E0%A5%87%E0%A4%82%E0%A4%97%E0%A4%BE_%E0%A4%B5_%E0%A4%AB%E0%A5%81%E0%A4%B2%E0%A4%82_Pods_%26_flowers_of_Pigeon_pea_%28Cajanus_cajan%29.jpg
mothbeans,Moth Bean,https://upload.wikimedia.org/wikipedia/commons/c/c8/Vigna_aconitifolia_Jacquin_1767.jpg
mungbean,Mung Bean,https://upload.wikimedia.org/wikipedia/commons/8/86/Mung_beans_%28Vigna_radiata%29.jpg
blackgram,Black Gram,https://upload.wikimedia.org/wikipedia/commons/2/2a/Vigna_mungo_var._mungo_%284663940080%29.jpg
lentil,Lentil,https://upload.wikimedia.org/wikipedia/commons/f/f7/Lens_culinaris_flowers_%28cropped%29.jpg
pomegranate,Pomegranate,https://upload.wikimedia.org/wikipedia/commons/e/e6/Punica_granatum_004.JPG
banana,Banana,https://upload.wikimedia.org/wikipedia/commons/8/87/Bananes_%28baie_dHalong_terrestre%29_%284369177548%29.jpg
mango,Mango,https://upload.wikimedia.org/wikipedia/commons/7/76/Mango_%28Mangifera_indica%29_Bacterial_black_spot_caused_by_Xanthomonas_citri_pv._mangiferae_indicae_%2841808195001%29.jpg
grapes,Grapes,https://upload.wikimedia.org/wikipedia/commons/5/5e/Wine_grapes03.jpg
watermelon,Watermelon,https://commons.wikimedia.org/wiki/File:Watermelon-garden.jpg
muskmelon,Muskmelon (Cantaloupe),https://upload.wikimedia.org/wikipedia/commons/f/ff/Muskmelon.jpg
apple,Apple,https://upload.wikimedia.org/wikipedia/commons/2/22/Malus_domestica_a1.jpg
orange,Orange,https://upload.wikimedia.org/wikipedia/commons/0/05/Citrus_aurantium_-_Bitter_orange_02.jpg
papaya,Papaya,https://upload.wikimedia.org/wikipedia/commons/0/0b/Carica_papaya_-_papaya_-_var-tropical_dwarf_papaya_-_desc-fruit.jpg
coconut,Coconut,https://upload.wikimedia.org/wikipedia/commons/f/fd/Cocos_nucifera_tree.loki.jpg
cotton,Cotton,https://upload.wikimedia.org/wikipedia/commons/2/28/Cotton_-_%E0%B4%AA%E0%B4%B0%E0%B5%81%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BF_03.JPG
jute,Jute,https://upload.wikimedia.org/wikipedia/commons/9/9e/Jute_Field_Bangladesh_%287749587518%29.jpg
coffee,Coffee,https://upload.wikimedia.org/wikipedia/commons/c/c7/Coffee_Flowers.JPG
